City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
179,Stornoway,GB,58.21,-6.39,54.0,90,85,10.0,overcast clouds
180,Evensk,RU,61.95,159.23,59.34,53,86,5.28,overcast clouds
181,Caboolture,AU,-27.08,152.95,54.0,98,10,3.06,clear sky
182,Meulaboh,ID,4.14,96.13,74.59,83,80,3.98,broken clouds
183,Tarbes,FR,43.25,0.17,68.0,82,90,6.93,overcast clouds
184,Inuvik,CA,68.35,-133.72,66.2,68,40,11.41,scattered clouds
185,Karratha,AU,-20.74,116.85,66.65,32,0,5.08,clear sky
186,Ugoofaaru,MV,5.67,73.0,82.78,78,100,14.56,light rain
187,Port Hardy,CA,50.7,-127.42,69.8,60,75,10.29,broken clouds
188,Huarmey,PE,-10.07,-78.15,65.32,72,4,8.84,clear sky
189,Fort Wellington,GY,6.4,-57.6,80.04,81,69,6.76,broken clouds
190,Cartagena,CO,10.4,-75.51,89.6,79,20,11.41,few clouds
191,Keita,NE,14.76,5.77,85.53,49,38,8.16,scattered clouds
192,San Cristobal,VE,7.77,-72.22,95.0,34,20,16.11,few clouds
193,Torbay,CA,47.67,-52.73,61.0,100,90,2.24,light intensity shower rain
194,Aksu,CN,41.12,80.26,77.32,26,100,2.66,overcast clouds
195,Mnogovershinnyy,RU,53.94,139.92,50.16,100,100,6.29,light rain
196,Shestakovo,RU,56.49,103.96,57.88,92,100,6.33,overcast clouds
197,Alofi,NU,-19.06,-169.92,73.4,64,99,13.87,overcast clouds
198,Camana,PE,-16.62,-72.71,61.75,71,81,4.52,broken clouds
199,Solnechnyy,RU,50.72,136.63,55.58,94,100,5.82,overcast clouds
200,Conde,BR,-7.26,-34.91,75.2,94,75,10.29,broken clouds
201,Waingapu,ID,-9.66,120.26,71.96,84,38,9.33,scattered clouds
202,Mago,RU,53.25,140.18,56.79,96,100,4.92,overcast clouds
203,Port Macquarie,AU,-31.43,152.92,50.0,98,1,3.67,clear sky
204,Fort Dodge,US,42.5,-94.17,78.8,61,90,3.36,overcast clouds
205,Andra,RU,62.51,65.89,53.33,87,49,3.74,scattered clouds
206,Touros,BR,-5.2,-35.46,78.8,78,75,11.41,broken clouds
207,Viedma,AR,-40.81,-63.0,57.99,60,96,1.99,overcast clouds
208,Saskylakh,RU,71.92,114.08,63.64,52,100,6.49,overcast clouds
209,Nenjiang,CN,49.18,125.22,70.2,89,100,4.85,overcast clouds
210,Acapulco,MX,16.86,-99.89,87.8,70,5,8.05,clear sky
211,Mehran,IR,33.12,46.16,73.4,25,0,4.7,clear sky
212,Ostersund,SE,63.18,14.64,66.2,63,5,8.05,clear sky
213,Moose Factory,CA,51.26,-80.61,57.2,87,90,13.87,overcast clouds
214,Gushikawa,JP,26.35,127.87,82.4,83,1,10.29,clear sky
215,Kupang,ID,-10.17,123.58,71.6,88,20,8.05,few clouds
216,Blagoveshchenka,RU,52.83,79.87,60.8,83,0,4.45,clear sky
217,Linfen,CN,36.09,111.52,78.73,73,3,4.7,clear sky
218,Coquimbo,CL,-29.95,-71.34,57.2,82,20,10.29,few clouds
219,Petropavlovsk-Kamchatskiy,RU,53.05,158.65,60.8,72,85,4.47,overcast clouds
220,Teknaf,BD,20.86,92.31,81.07,88,100,3.24,light rain
221,Hirara,JP,24.8,125.28,80.6,88,40,14.99,shower rain
222,Vazante,BR,-17.99,-46.91,71.76,45,100,0.6,overcast clouds
223,Hambantota,LK,6.12,81.12,75.2,100,20,8.05,few clouds
224,Kodiak,US,57.79,-152.41,57.2,82,90,8.05,overcast clouds
225,Pisco,PE,-13.7,-76.22,66.2,68,4,16.11,clear sky
226,Pangai,TO,-19.8,-174.35,75.2,73,75,17.22,broken clouds
227,Nesterov,RU,54.63,22.57,53.83,93,0,0.36,clear sky
