City_ID,City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
389,389,Jardim,BR,-21.48,-56.14,77.59,37,1,6.2,clear sky
392,392,Ternate,ID,0.8,127.4,78.69,82,95,0.87,light rain
393,393,Rolla,US,37.95,-91.77,79.0,73,40,5.82,scattered clouds
398,398,Porto Novo,BJ,6.5,2.6,77.0,88,40,12.75,scattered clouds
400,400,Pandan,PH,14.05,124.17,79.32,80,100,6.13,light rain
403,403,Soyo,AO,-6.13,12.37,71.91,84,59,8.5,broken clouds
413,413,Mabaruma,GY,8.2,-59.78,78.35,92,95,4.23,light rain
414,414,Puerto Del Rosario,ES,28.5,-13.86,77.0,78,20,11.41,few clouds
420,420,Sarulesti,RO,44.42,26.65,77.0,50,74,11.41,broken clouds
427,427,Praia Da Vitoria,PT,38.73,-27.07,75.2,60,20,6.82,few clouds
428,428,Cabedelo,BR,-6.98,-34.83,75.2,94,75,10.29,broken clouds
429,429,Gorele,TR,41.03,39.0,75.2,69,40,8.05,scattered clouds
434,434,Bo Rai,TH,12.57,102.54,76.78,91,100,8.99,moderate rain
437,437,Sao Filipe,CV,14.9,-24.5,77.09,84,13,7.94,few clouds
438,438,Aguai,BR,-22.06,-46.98,71.6,43,13,5.82,few clouds
439,439,Bud,US,39.45,-86.18,73.0,100,90,6.93,overcast clouds
440,440,Kabinda,CD,-6.13,24.48,77.58,38,73,5.17,broken clouds
441,441,Kashi,CN,39.45,75.98,77.0,29,40,8.95,scattered clouds
448,448,Herbertpur,IN,30.45,77.73,77.81,83,79,2.57,moderate rain
449,449,Isangel,VU,-19.55,169.27,71.6,88,90,4.7,overcast clouds
450,450,Kapit,MY,2.02,112.93,73.13,93,98,0.65,overcast clouds
456,456,Tual,ID,-5.67,132.75,77.38,80,97,20.18,overcast clouds
465,465,Acarau,BR,-2.89,-40.12,78.89,73,6,16.53,clear sky
469,469,Lompoc,US,34.64,-120.46,71.6,60,0,16.11,clear sky
475,475,Luganville,VU,-15.53,167.17,75.2,100,90,2.24,light intensity shower rain
476,476,Faya,SA,18.39,42.45,71.6,72,91,9.17,overcast clouds
477,477,Cortes,ES,41.94,-1.44,73.4,68,0,21.92,clear sky
479,479,Marzuq,YE,14.4,46.47,77.29,62,2,6.31,clear sky
480,480,Yashkul,RU,46.17,45.34,70.47,77,100,9.01,moderate rain
483,483,Angoche,MZ,-16.23,39.91,71.56,83,20,11.45,few clouds
491,491,Toyooka,JP,35.53,134.83,77.0,88,75,4.7,broken clouds
494,494,Cap Malheureux,MU,-19.98,57.61,69.01,83,22,5.01,light rain
496,496,Terrace,CA,54.52,-128.6,71.6,49,75,17.22,broken clouds
497,497,Quatre Cocos,MU,-20.21,57.76,71.6,83,75,17.22,shower rain
498,498,Nipawin,CA,53.37,-104.0,77.0,47,1,2.24,clear sky
501,501,Monticello,US,45.31,-93.79,75.0,83,74,5.82,moderate rain
509,509,Los Llanos De Aridane,ES,28.66,-17.92,73.4,83,61,14.99,broken clouds
511,511,Hauterive,FR,46.09,3.45,75.2,88,96,1.12,light rain
524,524,Maragogi,BR,-9.01,-35.22,73.65,88,37,9.91,light rain
525,525,Sept-Iles,CA,50.2,-66.38,75.2,57,40,10.29,scattered clouds
528,528,Cap-Chat,CA,49.1,-66.68,70.29,66,0,7.87,clear sky
531,531,College,US,64.86,-147.8,77.0,53,75,3.36,broken clouds
540,540,Gazli,UZ,40.13,63.45,75.0,25,0,6.38,clear sky
542,542,Padang,ID,-0.95,100.35,77.59,81,91,4.65,overcast clouds
543,543,Wiang Sa,TH,8.64,99.37,79.0,98,100,2.86,moderate rain
547,547,Amapa,BR,1.0,-52.0,74.98,93,79,1.74,light rain
549,549,Beira,MZ,-19.84,34.84,69.8,73,0,10.29,clear sky
554,554,Biu,NG,10.61,12.19,70.65,94,97,5.48,moderate rain
556,556,Arys,KZ,42.43,68.8,69.8,52,75,6.71,broken clouds
560,560,Ajdabiya,LY,30.76,20.23,76.71,89,0,10.16,clear sky
561,561,Lodja,CD,-3.48,23.43,78.49,45,64,2.89,broken clouds
564,564,Barreiros,BR,-8.82,-35.19,73.11,89,29,8.32,light rain
567,567,Sirnak,TR,37.52,42.46,70.72,22,0,5.75,clear sky
568,568,Yaan,NG,7.38,8.57,74.46,86,90,4.54,overcast clouds
576,576,Kirksville,US,40.19,-92.58,78.8,57,75,5.82,broken clouds
584,584,Sao Jose Da Coroa Grande,BR,-8.9,-35.15,74.37,86,31,10.65,light rain
587,587,Adre,TD,13.47,22.2,72.59,84,100,6.04,light rain
588,588,Raga,SS,8.46,25.68,70.74,94,100,3.67,moderate rain
589,589,Trairi,BR,-3.28,-39.27,78.62,76,59,11.99,broken clouds
597,597,Henties Bay,,-22.12,14.28,75.99,19,0,6.98,clear sky
598,598,Elena,BG,42.93,25.88,71.6,100,49,5.82,light intensity shower rain
599,599,Lamu,KE,-2.27,40.9,76.95,78,14,20.04,few clouds
600,600,Takoradi,GH,4.88,-1.76,74.05,85,0,8.97,clear sky
603,603,Pilar,BR,-9.6,-35.96,73.4,88,75,4.7,shower rain
604,604,Zhezkazgan,KZ,47.8,67.71,75.78,37,3,10.85,clear sky
606,606,Seoul,KR,37.57,126.98,77.0,100,90,6.08,mist
612,612,Numan,NG,9.47,12.03,76.73,83,98,5.23,overcast clouds
615,615,Tarakan,ID,3.3,117.63,78.24,83,100,4.12,overcast clouds
616,616,Sakaiminato,JP,35.55,133.23,77.0,88,75,5.82,broken clouds
619,619,Ribeira Brava,PT,32.65,-17.07,73.4,64,20,27.51,few clouds
620,620,Bardiyah,LY,31.76,25.09,76.89,89,0,21.36,clear sky
621,621,Bontang,ID,0.13,117.5,75.07,89,81,6.26,broken clouds
625,625,Kilindoni,TZ,-7.91,39.67,76.5,79,3,18.28,clear sky
629,629,Uruacu,BR,-14.52,-49.14,72.3,39,3,2.89,clear sky
630,630,Yenagoa,NG,4.92,6.26,73.2,88,17,3.98,few clouds
634,634,Ndele,CF,8.41,20.65,72.14,92,100,2.1,overcast clouds
639,639,Mettmann,DE,51.25,6.97,75.0,64,40,5.82,scattered clouds
643,643,Tottori,JP,35.5,134.23,77.0,88,75,4.7,broken clouds
645,645,Honiara,SB,-9.43,159.95,77.0,88,75,1.1,broken clouds
646,646,Vicente Guerrero,MX,19.12,-98.17,75.2,36,40,9.17,scattered clouds
648,648,Polis,CY,35.04,32.43,75.2,88,40,5.82,scattered clouds
652,652,Saint-Francois,FR,46.42,3.91,75.2,60,97,4.7,light rain
659,659,Obo,CF,5.4,26.49,69.55,92,100,2.04,overcast clouds
660,660,Porto Santo,PT,33.07,-16.34,71.6,78,75,13.87,broken clouds
661,661,Fuyu,CN,45.18,124.82,73.74,82,9,11.32,clear sky
662,662,Mulanur,IN,10.77,77.72,78.64,71,100,15.59,overcast clouds
666,666,Kawalu,ID,-7.38,108.21,69.37,92,80,1.97,broken clouds
671,671,Sibut,CF,5.72,19.07,72.27,93,100,2.28,overcast clouds
673,673,Lala,PH,7.97,123.75,73.87,93,94,3.36,overcast clouds
679,679,Ferkessedougou,CI,9.6,-5.2,72.16,90,37,4.36,scattered clouds
680,680,Kitob,UZ,39.08,66.83,70.77,29,0,3.89,clear sky
